,V,DIS,NKE,ORCL,CAT,META,AAPL,AMZN,NFLX,MSFT,GOOG,HSY,STZ,ALGN,XEL,PPL,MAR,LVS,LEN,BBY,LUV,WING,FRPT,PEGA,OLED,XPO,TREX,MOS,OLLI,DKS,VIRT,JBLU
STZ,0.48726359854527784,0.3549091525148293,0.4327267602674475,0.2146283823203667,0.3446101470886856,0.24629753401105556,0.3518322331409015,0.2684224011855027,0.19900833918290076,0.342668243701802,0.30007758906847043,0.4086909228698336,1.0,0.376574324048156,0.3765852053782558,0.48380878916999004,0.45771547689041153,0.323421477311957,0.46427003351408724,0.40661963822345876,0.3871168317597554,0.3328714226785222,0.2675451010114806,0.2917630931411675,0.2810804273599114,0.3392952293887509,0.3800190581954808,0.31332947028859987,0.2693432249349813,0.39416239948744203,0.13779873113378832,0.374889932089768
ALGN,0.44308199356796124,0.4237380706587045,0.41078229996508686,0.23938203503643915,0.37492738156249017,0.41679740927481745,0.41347221685858676,0.4096958302935445,0.24786876250643325,0.40017794561163045,0.43572283542892276,0.15039111774285835,0.376574324048156,1.0,0.22836744488016847,0.3314089744999587,0.4726217967505627,0.3854593831631238,0.4038950508573691,0.37371652317341275,0.400316556320888,0.26336069553525265,0.2651979925712869,0.356366325648603,0.37039923218249365,0.4573560673461621,0.4665877007497623,0.2990599644558526,0.23607749674146353,0.3670985353296002,0.07884829973399388,0.40784785637259174
XEL,0.3706393839698202,0.250402919281716,0.29775136193671853,0.15733400674260964,0.15131996396533767,0.1150577164465393,0.27237533634477024,0.09558064532191012,0.045667910617834,0.2541526499539721,0.15995097531350505,0.4523174363568017,0.3765852053782558,0.22836744488016847,1.0,0.7360818696617839,0.21455112031227155,0.1319086276167355,0.3546319696353725,0.24433347516829826,0.22316743866825065,0.21617523662338226,0.08994831534266494,0.15124438937909312,0.15740339473460876,0.17813809916764886,0.1917542594051816,0.1460194470825255,0.15508294942595904,0.25995723814491584,0.11880293609167104,0.22351558640680072
PPL,0.4174483093143292,0.3740033558394622,0.3473368487132091,0.19276664332998436,0.28634636662983337,0.17483628277080873,0.309588848254404,0.12008229535903552,0.10409989057692674,0.2533859030656523,0.1972233425639754,0.383637957208265,0.48380878916999004,0.3314089744999587,0.7360818696617839,1.0,0.42098929565052595,0.27355048138709676,0.44192224545779335,0.3524325142864546,0.37951255748445356,0.2559438159971954,0.1461452501010836,0.23975047708404412,0.24153137019387844,0.30910598319365695,0.2725881450628252,0.2629167063552488,0.18788746999679706,0.39254057954166777,0.11083339491166032,0.41600508990189144
MAR,0.575072396601562,0.5370077255013098,0.36624157614586145,0.2985742149570701,0.4691823850617285,0.34294358871571484,0.38909638888878406,0.35007296103763685,0.2654825920929846,0.3750946366904086,0.37711893481442527,0.15677893894102055,0.45771547689041153,0.4726217967505627,0.21455112031227155,0.42098929565052595,1.0,0.5461837581642268,0.47753162068084914,0.40693977471173115,0.5791351304089849,0.29436723688587524,0.28849260223952844,0.4147595652966099,0.3717608616235448,0.531202837732132,0.38153930205026837,0.4423606616681376,0.22042365339663297,0.4351885503033359,0.07645603200899258,0.5825471256756694
LVS,0.4133419057622345,0.38970920920393654,0.33393070694646915,0.21440407179413193,0.398510926193632,0.36357759129550865,0.32702453078559063,0.3227020389810996,0.23139448470394314,0.2869465177429638,0.3451776162772337,0.10883632460426866,0.323421477311957,0.3854593831631238,0.1319086276167355,0.27355048138709676,0.5461837581642268,1.0,0.32697935312649057,0.29626742953787194,0.37575259517959747,0.1906284087213427,0.195344849437614,0.35718223972916835,0.281419892849404,0.39112547169275297,0.27306454705551314,0.327077878080922,0.1217951004800803,0.31213789877597115,0.06638462381493171,0.409899443588277
LEN,0.46090429088401746,0.3677055386018259,0.42898485813194626,0.2159741669449556,0.3351727672088546,0.2942491924164744,0.41156872479560147,0.27030253881342986,0.18742491915336865,0.3395020675519983,0.3358246332013979,0.2926619173333168,0.46427003351408724,0.4038950508573691,0.3546319696353725,0.44192224545779335,0.47753162068084914,0.32697935312649057,1.0,0.44824407707014713,0.3881799460742263,0.37868667706197084,0.2729777495762994,0.3900143918799069,0.3710370426016865,0.43509279070700346,0.587431489933813,0.25934620685818793,0.26244611906302695,0.49634485382656035,0.14868468704790233,0.4315232959959966
BBY,0.3945374576857841,0.3984337178710782,0.48128139534448316,0.2356510706294257,0.36513455000985845,0.3030909692848658,0.4312538478021092,0.32863535825008133,0.2611997160298305,0.35177146735038106,0.3234252934942382,0.2313453168540951,0.40661963822345876,0.37371652317341275,0.24433347516829826,0.3524325142864546,0.40693977471173115,0.29626742953787194,0.44824407707014713,1.0,0.3552996205642334,0.3380279878113053,0.27833090605573274,0.36385634735887235,0.32852011265798375,0.38782912753572235,0.38768336210481424,0.30621342821516634,0.3688675679816327,0.5537676470013909,0.13815162784711074,0.41115277634409475
LUV,0.48089395233962706,0.47239963908311067,0.33945576459040416,0.2045926631930234,0.45285606762968317,0.23822941409625675,0.2831551895732976,0.20911207018537828,0.1480965775597681,0.21664045023758333,0.23627398714787257,0.15958454268243769,0.3871168317597554,0.400316556320888,0.22316743866825065,0.37951255748445356,0.5791351304089849,0.37575259517959747,0.3881799460742263,0.3552996205642334,1.0,0.1665237836393363,0.2116901632661817,0.33215282938796464,0.2932477355151611,0.4463719495011096,0.29938859325601785,0.37699738099819513,0.1398715689877482,0.37208210251221213,0.09201990665612877,0.6894925440219678
WING,0.39758206340968316,0.3238429598091744,0.29801134937022167,0.23336196416411945,0.19296585573834407,0.28414738431804376,0.34868442162718877,0.3204294747125877,0.2689119315744917,0.3971377033060224,0.26688026316838753,0.18761159053489262,0.3328714226785222,0.26336069553525265,0.21617523662338226,0.2559438159971954,0.29436723688587524,0.1906284087213427,0.37868667706197084,0.3380279878113053,0.1665237836393363,1.0,0.3680044010060937,0.34386191551729844,0.32295148608557206,0.33246521252472416,0.3724203827542523,0.14169778047997647,0.3197624449915621,0.31845295482048314,0.056306509639543284,0.2500809156840083
