Asset,Class,Notes,Std_Daily(%),Std_Weekly(%),Std_Monthly(%),Std_3Month(%),MeanHL_Daily(%),MeanHL_Weekly(%),MeanHL_Monthly(%),MeanHL_3Month(%)
AAPL,Equity - Mega Cap,FAANMG,1.7747695303942705,3.7325641470162734,7.127740062709501,13.354543390088814,2.0332037271517205,5.6286002460584825,12.63019135796547,24.758320227439125
AMZN,Equity - Mega Cap,FAANMG,2.0681628528157017,4.4292201568402545,8.046624557111075,14.828558006309429,2.415258341929618,6.49063152660327,14.544811758380538,27.77129855488501
NFLX,Equity - Mega Cap,FAANMG,3.0958930222585375,7.415607834109992,14.896013154699908,27.281489744184434,3.395880590004541,9.404193349784908,22.3975478394629,46.74526739295444
MSFT,Equity - Mega Cap,FAANMG,1.60589380756234,3.237403270018666,5.957903217736608,10.238303792969713,1.8806508356232234,4.858936267666313,10.517796396831995,19.333795454046207
GOOG,Equity - Mega Cap,FAANMG,1.7423500873130235,3.6266431172687152,6.695667283309459,12.431955672782316,1.9681348055013388,5.332563509040307,11.76984374206891,22.3515658567226
MAR,Equity - Large Cap,Discretionary/Industrial,1.93112337478951,4.276171790540754,8.596288627781263,14.284928927351972,2.305697994169471,6.128277768280529,13.686051159245372,26.942037714595944
LVS,Equity - Large Cap,Discretionary/Industrial,2.452984304858802,5.41032122461801,10.40168215316766,18.394066355971024,2.9781820450941816,8.055532589982448,17.75820253409993,34.31105556476143
LEN,Equity - Large Cap,Discretionary/Industrial,2.345222673098392,4.958878114776363,9.341470519318678,16.030047153733264,3.0199159227913355,7.735084531517416,16.110079436290068,30.336384582570503
BBY,Equity - Large Cap,Discretionary/Industrial,2.4623981325934103,5.375611469338781,10.259790282400303,20.190349386168513,2.870385484190748,7.750130806110703,17.36294244056071,34.31542119733566
ODFL,Equity - Large Cap,Discretionary/Industrial,1.960545340372184,4.302697431750559,8.020225309534913,11.731210420923757,2.6357986154533757,6.6828567758756225,13.898627755969475,25.355622044293725
LUV,Equity - Large Cap,Discretionary/Industrial,2.12994554239498,4.748869356786161,10.586560184598355,16.846524991412956,2.751832905339253,7.128386342135218,16.268999699168695,30.883453700798853
PCAR,Equity - Large Cap,Discretionary/Industrial,1.6789340455320083,3.644199949393604,7.278491614587476,11.465022020809728,2.2013507930853042,5.691143609814317,12.183970477687344,21.720952701647985
JCI,Equity - Large Cap,Discretionary/Industrial,1.6200602645200501,3.5073794720111198,7.043661250515811,12.037492260533678,2.023722263012778,5.224073088182929,11.405421359408633,21.60742972919403
WMT,Equity - Large Cap,Discretionary/Industrial/Tech?,1.2348848251142994,2.610495971617354,4.885125563404508,7.749674987512116,1.4952924716943634,3.772203261063334,8.07019892761582,14.93762760816739
HSY,Equity - Large Cap,"F&B, Healthcare, Utilities",1.320218323417525,2.593799690438822,4.987844951559002,8.417880648253535,1.6698838572678942,4.098520142267443,8.785962344080152,15.90255508676873
CPB,Equity - Large Cap,"F&B, Healthcare, Utilities",1.3952059678379314,2.9440952476829167,5.475026942335443,8.413950160035425,1.8137253814690053,4.495571221910694,9.29894719280629,16.559249834075604
STZ,Equity - Large Cap,"F&B, Healthcare, Utilities",1.8080123655447102,4.045242992066996,8.001867913148107,15.567671659557488,2.0043361575143517,5.290250778442406,11.618311288565835,22.906428411676686
MNST,Equity - Large Cap,"F&B, Healthcare, Utilities",1.920328821404248,4.067593522020095,7.995569099425587,12.221780837349709,2.3033536179274705,5.921513754774263,13.180503818960403,25.328103604879242
BIIB,Equity - Large Cap,"F&B, Healthcare, Utilities",2.4098085617166447,4.903797777853032,9.178968899737711,17.003655094245982,2.597914093573221,6.5832118027724835,14.983790022616548,29.45140066766812
ALGN,Equity - Large Cap,"F&B, Healthcare, Utilities",2.910350912216922,6.226661186198115,12.25899767479524,26.29538128345199,3.311000003845901,9.003682408872342,20.33126219742875,42.079400113375456
XEL,Equity - Large Cap,"F&B, Healthcare, Utilities",1.227501736411785,2.572732813617749,4.601644136648875,6.984748307088588,1.6680725713263986,4.004514363456027,8.142685135142916,14.111934720893032
PPL,Equity - Large Cap,"F&B, Healthcare, Utilities",1.3126246371840304,2.7680418438364773,5.294470285769521,7.956788349360649,1.6856487305742696,4.129849789427678,8.62070063417638,15.247306385596056
SNDK,Equity - Large Cap,Semiconductor,6.063474564560408,14.178192837311027,39.08915161063134,61.11600080532863,7.5304454952820095,21.49074130878798,56.62099328207282,153.36056594317463
MU,Equity - Large Cap,Semiconductor,3.0476722074481417,6.866846139320751,13.076352946772863,24.87698342443804,3.6821673449433967,10.326746384942288,22.854025157117146,44.04947840959107
TSM,Equity - Large Cap,Semiconductor,1.9454288697792306,4.007806626159116,8.07038610535773,13.915732655546654,2.041977156823604,5.94675102150553,13.331154878065096,25.76080702110164
PLTR,Equity - Large Cap,AI/Military,4.462503647452438,9.972533914472221,21.341713468225866,30.90323273236143,5.571695476707807,15.127886577514552,36.24594148133182,70.2598373155316
WING,Equity - Mid Cap,,2.813564056638801,6.539278614444993,12.311448626088909,21.084954001769376,3.7701817833546794,9.588997729970112,21.409531000688805,41.74966577577728
FRPT,Equity - Mid Cap,,3.160538729777293,6.707333965042557,12.685676672139046,23.55148347483803,4.530491831762949,11.320311011380086,24.26192494755933,50.50935104593759
BILL,Equity - Mid Cap,,4.564631043407352,9.799289310540829,19.40035478763199,39.44876588524562,5.582933594423654,14.901938193068107,34.3734249019429,73.35877748327727
PEGA,Equity - Mid Cap,,2.7355225524042557,6.049709594525915,12.02004416703176,18.98284069479211,3.224062117215306,8.54367352278164,19.64424836277427,38.297796584993925
OLED,Equity - Mid Cap,,3.311407783808415,7.399401923550542,16.29964068124304,27.190468778428585,4.040333499319833,10.616496650654787,24.80768744276661,48.978343838414396
XPO,Equity - Mid Cap,,3.057510566988704,7.079921723233443,15.865260273083917,21.117178268731017,3.98944564029291,10.56859667275064,24.45840897248308,46.58189047728725
FND,Equity - Mid Cap,,3.0556745002688506,6.290559231193847,13.226964101537384,25.34271227612479,3.954735074125457,10.407411510715882,23.050428115163832,46.81100379799868
TREX,Equity - Mid Cap,,2.855206759418712,6.310547529422822,13.103523701147331,22.716413912100343,3.549351303438649,9.363640500615823,21.093317900973034,42.01420533170551
MOS,Equity - Mid Cap,,2.584157175699027,5.6806905508764105,11.166627835194575,20.617315337722136,3.2223670459293903,8.516503753938531,18.84315398429929,36.85320425745494
OLLI,Equity - Mid Cap,,2.7127725137502,5.702315288947914,10.852324513831341,20.49572831833815,3.7700466790461413,9.346116904541448,20.287591023264728,37.552887745095276
DKS,Equity - Mid Cap,,2.5438000238357,5.479236947389702,10.461189994702176,21.697871358838185,3.080010010464355,8.077257963958537,17.94394762999319,35.16965210317886
VIRT,Equity - Mid Cap,,2.216635609963537,4.986141950411024,10.6418735557782,21.32315774584131,3.023501720691308,7.415096157846933,16.48827509021492,31.563376575708908
JBLU,Equity - Mid Cap,,3.0420707691899422,6.373112226222506,12.624593240159468,19.804683251645212,3.7588402568549317,9.82887660914543,21.616598643362888,41.15465161074828
